"Title","Latitude","Longitude","Description","LocalPath"
"1d0000097a_20250812_120000_Delay+4s_1024x768_Cam00_00.jpg",49.8745408,18.3037504,"ID: 1d0000097a | UTC: 2025-08-12 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250812_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250812_160000_Delay+4s_1024x768_Cam00_00.jpg",49.8700512,18.2962544,"ID: 1d0000097a | UTC: 2025-08-12 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250812_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250813_040000_Delay+5s_1024x768_Cam00_00.jpg",49.8698272,18.290912,"ID: 1d0000097a | UTC: 2025-08-13 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250813_040000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250813_140000_Delay+5s_1024x768_Cam00_00.jpg",49.8098144,18.481384,"ID: 1d0000097a | UTC: 2025-08-13 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250813_140000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250814_040000_Delay+4s_1024x768_Cam00_00.jpg",49.7916416,18.5460256,"ID: 1d0000097a | UTC: 2025-08-14 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250814_040000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250814_100000_Delay+4s_1024x768_Cam00_00.jpg",49.565824,18.7707744,"ID: 1d0000097a | UTC: 2025-08-14 10:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250814_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250814_160000_Delay+5s_1024x768_Cam00_00.jpg",49.148656,20.9445328,"ID: 1d0000097a | UTC: 2025-08-14 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250814_160000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250815_040000_Delay+4s_1024x768_Cam00_00.jpg",49.1477248,20.9475696,"ID: 1d0000097a | UTC: 2025-08-15 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250815_040000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250815_120000_Delay+4s_1024x768_Cam00_00.jpg",48.3564544,22.3639792,"ID: 1d0000097a | UTC: 2025-08-15 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250815_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250815_140000_Delay+5s_1024x768_Cam00_00.jpg",47.9305824,22.7782992,"ID: 1d0000097a | UTC: 2025-08-15 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250815_140000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250815_160000_Delay+4s_1024x768_Cam00_00.jpg",47.7044064,22.7856784,"ID: 1d0000097a | UTC: 2025-08-15 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250815_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250816_040000_Delay+4s_1024x768_Cam00_00.jpg",47.7015776,22.78004,"ID: 1d0000097a | UTC: 2025-08-16 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250816_040000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250816_060000_Delay+4s_1024x768_Cam00_00.jpg",47.701664,22.7798608,"ID: 1d0000097a | UTC: 2025-08-16 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250816_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250816_100000_Delay+4s_1024x768_Cam00_00.jpg",47.3553152,23.2168576,"ID: 1d0000097a | UTC: 2025-08-16 10:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250816_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250816_140000_Delay+4s_1024x768_Cam00_00.jpg",46.750592,23.6981552,"ID: 1d0000097a | UTC: 2025-08-16 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250816_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250816_160000_Delay+4s_1024x768_Cam00_00.jpg",46.7506336,23.6980128,"ID: 1d0000097a | UTC: 2025-08-16 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250816_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_040000_Delay+4s_1024x768_Cam00_00.jpg",46.7502784,23.6958912,"ID: 1d0000097a | UTC: 2025-08-17 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_040000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_060000_Delay+4s_1024x768_Cam00_00.jpg",46.7505792,23.6978032,"ID: 1d0000097a | UTC: 2025-08-17 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_080000_Delay+5s_1024x768_Cam00_00.jpg",46.6555328,23.8786544,"ID: 1d0000097a | UTC: 2025-08-17 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_080000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_120000_Delay+5s_1024x768_Cam00_00.jpg",45.8505248,25.0563584,"ID: 1d0000097a | UTC: 2025-08-17 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_120000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_140000_Delay+5s_1024x768_Cam00_00.jpg",45.667904,25.6626416,"ID: 1d0000097a | UTC: 2025-08-17 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_140000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250817_160000_Delay+4s_1024x768_Cam00_00.jpg",45.6711744,25.663704,"ID: 1d0000097a | UTC: 2025-08-17 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250817_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250818_060000_Delay+5s_1024x768_Cam00_00.jpg",45.6691392,25.6628608,"ID: 1d0000097a | UTC: 2025-08-18 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_060000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250818_080000_Delay+4s_1024x768_Cam00_00.jpg",45.668816,25.6626592,"ID: 1d0000097a | UTC: 2025-08-18 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250818_100000_Delay+5s_1024x768_Cam00_00.jpg",45.6687808,25.6627648,"ID: 1d0000097a | UTC: 2025-08-18 10:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250818_100000_Delay+5s_1024x768_Cam00_00.jpg"
